# x2,y_fit2
0.000000000000000000e+00,5.000000000000000000e+00
2.020202020202020166e-01,5.953833625759056503e+00
4.040404040404040331e-01,6.776827902941326087e+00
6.060606060606060774e-01,7.447731602027249487e+00
8.080808080808080662e-01,7.953585541387482749e+00
1.010101010101010166e+00,8.289458490062081353e+00
1.212121212121212155e+00,8.457878527399680380e+00
1.414141414141414144e+00,8.468012487711000347e+00
1.616161616161616132e+00,8.334651414478756237e+00
1.818181818181818121e+00,8.077062355731170484e+00
2.020202020202020332e+00,7.717766528602887810e+00
2.222222222222222321e+00,7.281301139779953857e+00
2.424242424242424310e+00,6.793017316320748122e+00
2.626262626262626299e+00,6.277960077730360133e+00
2.828282828282828287e+00,5.759868495739944194e+00
3.030303030303030276e+00,5.260325584047826020e+00
3.232323232323232265e+00,4.798078468673567798e+00
3.434343434343434254e+00,4.388540417299663154e+00
3.636363636363636243e+00,4.043477719895570033e+00
3.838383838383838231e+00,3.770876528784574244e+00
4.040404040404040664e+00,3.574977840691575981e+00
4.242424242424242209e+00,3.456463028724586994e+00
4.444444444444444642e+00,3.412767835419550089e+00
4.646464646464646187e+00,3.438499580956198010e+00
4.848484848484848619e+00,3.525930524449925940e+00
5.050505050505050164e+00,3.665539786659216759e+00
5.252525252525252597e+00,3.846576897667828732e+00
5.454545454545454142e+00,4.057621732349335986e+00
5.656565656565656575e+00,4.287118169560264036e+00
5.858585858585858119e+00,4.523862068331220954e+00
6.060606060606060552e+00,4.757427896236547049e+00
6.262626262626262097e+00,4.978522371287073867e+00
6.464646464646464530e+00,5.179257596338653791e+00
6.666666666666666963e+00,5.353340196132773343e+00
6.868686868686868507e+00,5.496176754334908487e+00
7.070707070707070940e+00,5.604899259100861286e+00
7.272727272727272485e+00,5.678317196728851712e+00
7.474747474747474918e+00,5.716805309521782341e+00
7.676767676767676463e+00,5.722137811692938669e+00
7.878787878787878896e+00,5.697281020478637714e+00
8.080808080808081328e+00,5.646156919791941675e+00
8.282828282828281985e+00,5.573390165690875087e+00
8.484848484848484418e+00,5.484050521567433556e+00
8.686868686868686851e+00,5.383401747032553253e+00
8.888888888888889284e+00,5.276666640110664552e+00
9.090909090909089940e+00,5.168816336620222884e+00
9.292929292929292373e+00,5.064390195154716778e+00
9.494949494949494806e+00,4.967350731123838514e+00
9.696969696969697239e+00,4.880976194106860788e+00
9.898989898989899672e+00,4.807791586535586248e+00
1.010101010101010033e+01,4.749537265269350605e+00
1.030303030303030276e+01,4.707172805593794251e+00
1.050505050505050519e+01,4.680912580972474757e+00
1.070707070707070763e+01,4.670288549240494191e+00
1.090909090909090828e+01,4.674235051090630755e+00
1.111111111111111072e+01,4.691190021119202136e+00
1.131313131313131315e+01,4.719206875208943330e+00
1.151515151515151558e+01,4.756071450385491062e+00
1.171717171717171624e+01,4.799418705966486343e+00
1.191919191919191867e+01,4.846844412988271067e+00
1.212121212121212110e+01,4.896007723429469216e+00
1.232323232323232354e+01,4.944721280281342501e+00
1.252525252525252419e+01,4.991026362329286314e+00
1.272727272727272663e+01,5.033251413302936683e+00
1.292929292929292906e+01,5.070053146446610093e+00
1.313131313131313149e+01,5.100440209362743005e+00
1.333333333333333393e+01,5.123780112139087350e+00
1.353535353535353458e+01,5.139790742039834548e+00
1.373737373737373701e+01,5.148518294335589829e+00
1.393939393939393945e+01,5.150303831310954372e+00
1.414141414141414188e+01,5.145740936300663648e+00
1.434343434343434254e+01,5.135627058558457136e+00
1.454545454545454497e+01,5.120911154649562924e+00
1.474747474747474740e+01,5.102640133911110709e+00
1.494949494949494984e+01,5.081906423757700075e+00
1.515151515151515049e+01,5.059798702097406675e+00
1.535353535353535293e+01,5.037357517274670293e+00
1.555555555555555536e+01,5.015537149807895112e+00
1.575757575757575779e+01,4.995174683564085782e+00
1.595959595959595845e+01,4.976966864766595222e+00
1.616161616161616266e+01,4.961454951613329278e+00
1.636363636363636331e+01,4.949017409418661195e+00
1.656565656565656397e+01,4.939869997712110994e+00
1.676767676767676818e+01,4.934072535524032688e+00
1.696969696969696884e+01,4.931541425218047614e+00
1.717171717171717304e+01,4.932066866932255600e+00
1.737373737373737370e+01,4.935333605529348411e+00
1.757575757575757436e+01,4.940944018049531650e+00
1.777777777777777857e+01,4.948442367998165281e+00
1.797979797979797922e+01,4.957339117609273593e+00
1.818181818181817988e+01,4.967134293378318688e+00
1.838383838383838409e+01,4.977339035592753369e+00
1.858585858585858475e+01,4.987494620735504647e+00
1.878787878787878896e+01,4.997188417813410943e+00
1.898989898989898961e+01,5.006066417446041861e+00
1.919191919191919027e+01,5.013842148095426055e+00
1.939393939393939448e+01,5.020301960124798235e+00
1.959595959595959513e+01,5.025306809497574356e+00
1.979797979797979934e+01,5.028790804114583679e+00
2.000000000000000000e+01,5.030756883562347959e+00
